text,label
starte die anwendung,22
fang mit der anwendung an,22
starten bitte,22
kannst du die anwendung starten,22
beginne mit der anwendung,22
mach die anwendung an,22
anwendung starten,22
lass uns anfangen,22
fang an,22
start,22
beginne bitte,22
starte die anwendung,22
schalte die anwendung ein,22
lass die anwendung starten,22
aktiviere die anwendung,22
starten sie die applikation,22
fange mit der app an,22
starte bitte die applikation,22
stoppe die anwendung,23
schließe die anwendung,23
stoppe die applikation,23
schließe die applikation,23
hör auf,23
beende die anwendung,23
kannst du die anwendung stoppen,23
anwendung anhalten,23
mach die anwendung aus,23
stoppen bitte,23
beende bitte,23
anhalten,23
anwendung ausschalten,23
stopp,23
sind noch oberteile vorhanden,5
hast du noch oberteile,5
gibt es noch oberteile,5
sind oberteile noch verfügbar,5
sind noch oberteile im lager,5
existieren noch oberteile,5
sind oberteile noch auf lager,5
überprüfe ob noch oberteile vorhanden sind,5
kannst du prüfen ob oberteile verfügbar sind,5
prüfe ob noch oberteile im bestand sind,5
checke nach oberteilen,5
ist das oberteil noch vorhanden,5
existieren noch oberteile im lager,5
gibt es restbestände von oberteilen,5
sind noch oberteile übrig,5
sind oberteile vorrätig,5
hast du noch oberteile im lager,5
prüfe ob es noch oberteile gibt,5
checke nach oberteilen im bestand,5
überprüfe ob noch oberteile auf lager sind,5
sind noch griffe vorhanden,5
hast du noch griffe,5
gibt es noch griffe,5
sind griffe noch verfügbar,5
sind noch griffe im lager,5
existieren noch griffe,5
sind griffe noch auf lager,5
überprüfe ob noch griffe vorhanden sind,5
kannst du prüfen ob griffe verfügbar sind,5
prüfe ob noch griffe im bestand sind,5
checke nach griffen,5
ist der griff noch vorhanden,5
existieren noch griffe im lager,5
gibt es restbestände von griffen,5
sind noch griffe übrig,5
sind griffe vorrätig,5
hast du noch griffe im lager,5
prüfe ob es noch griffe gibt,5
checke nach griffen im bestand,5
überprüfe ob noch griffe auf lager sind,5
sind noch unterteile vorhanden,8
hast du noch unterteile,8
gibt es noch unterteile,8
hast du noch spitzen,8
sind unterteile noch verfügbar,8
sind noch unterteile im lager,8
existieren noch unterteile,8
sind unterteile noch auf lager,8
überprüfe ob noch unterteile vorhanden sind,8
kannst du prüfen ob unterteile verfügbar sind,8
prüfe ob noch unterteile im bestand sind,8
checke nach unterteilen,8
ist das unterteil noch vorhanden,8
existieren noch unterteile im lager,8
gibt es restbestände von unterteilen,8
sind noch unterteile übrig,8
sind unterteile vorrätig,8
hast du noch unterteile im lager,8
prüfe ob es noch unterteile gibt,8
checke nach unterteilen im bestand,8
überprüfe ob noch unterteile auf lager sind,8
sind noch spitzen vorhanden,8
hast du noch spitzen,8
gibt es noch spitzen,8
sind spitzen noch verfügbar,8
sind noch spitzen im lager,8
existieren noch spitzen,8
sind spitzen noch auf lager,8
überprüfe ob noch spitzen vorhanden sind,8
kannst du prüfen ob spitzen verfügbar sind,8
prüfe ob noch spitzen im bestand sind,8
checke nach spitzen,8
ist die spitze noch vorhanden,8
existieren noch spitzen im lager,8
gibt es restbestände von spitzen,8
sind noch spitzen übrig,8
sind spitzen vorrätig,8
hast du noch spitzen im lager,8
prüfe ob es noch spitzen gibt,8
checke nach spitzen im bestand,8
überprüfe ob noch spitzen auf lager sind,8
was ist der nächste schritt,24
was muss ich als nächstes tun,24
kannst du mir den nächsten montageschritt sagen,24
was folgt jetzt,24
was passiert im nächsten schritt,24
was soll ich jetzt machen,24
was ist der nächste arbeitsschritt,24
was steht als nächstes an,24
welcher schritt kommt jetzt,24
wie geht es weiter,24
was kommt nach diesem schritt,24
kannst du den nächsten schritt ansagen,24
bitte zeige mir den nächsten schritt,24
wie lautet der nächste befehl,24
was folgt nach dieser aufgabe,24
was ist der nächste arbeitsschritt in der reihe,24
was muss ich jetzt als nächstes tun,24
was kommt als nächstes,24
was ist der nächste punkt auf der liste,24
was kommt nach der aktuellen aufgabe,24
kannst du mir den nächsten prozess erklären,24
wie geht es jetzt weiter,24
was steht jetzt als nächstes an,24
kannst du mir den nächsten schritt erläutern,24
was folgt als nächstes im ablauf,24
was kommt nach der jetzigen aufgabe,24
was muss als nächstes gemacht werden,24
was folgt jetzt im arbeitsprozess,24
welcher schritt ist der nächste im plan,24
was passiert nach diesem schritt,24
wie viele spitzen sind noch verfügbar,4
wie viele spitzen gibt es noch,4
wie viele spitzen hast du noch,4
wie viele spitzen sind im lager,4
wie viele spitzen sind noch vorrätig,4
wie viele spitzen gibt es noch auf lager,4
wie viele spitzen sind noch im bestand,4
wie viele spitzen hast du im lager,4
wie viele spitzen fehlen im bestand,4
wie viele spitzen gibt es noch im lager,4
wie viele spitzen sind noch auf lager,4
wie viele spitzen sind noch übrig,4
wie viele spitzen hast du noch im bestand,4
wie viele unterteile sind noch verfügbar,4
wie viele unterteile gibt es noch,4
wie viele unterteile hast du noch,4
wie viele unterteile sind im lager,4
wie viele unterteile sind noch vorrätig,4
wie viele unterteile gibt es noch auf lager,4
wie viele unterteile sind noch im bestand,4
wie viele unterteile hast du im lager,4
wie viele unterteile fehlen im bestand,4
wie viele unterteile gibt es noch im lager,4
wie viele unterteile sind noch auf lager,4
wie viele unterteile sind noch übrig,4
wie viele unterteile hast du noch im bestand,4
sag mir die anzahl an spitzen,4
sag mir die anzahl an unterteilen,4
gib mir die anzahl an noch vorhandenen unterteilen,4
gib mir die anzahl an noch vorhandenen spitzen,4
checke die anzahl an spitzen,4
checke die anzahl an unterteilen,4
